landscape,surveyyear,id,nr,nrcollect
lac_tele,2018,5533,firewood,6
lac_tele,2018,5533,marantacea,6
lac_tele,2018,5533,fish,7
lac_tele,2018,5533,bushmeat,0
lac_tele,2018,5534,bushmeat,0
lac_tele,2018,5534,firewood,6
lac_tele,2018,5534,fish,2
lac_tele,2018,5534,marantacea,6
lac_tele,2018,5534,gnetum,6
lac_tele,2018,5535,fish,0
lac_tele,2018,5535,gnetum,0
lac_tele,2018,5535,marantacea,0
lac_tele,2018,5535,firewood,0
lac_tele,2018,5535,bushmeat,0
lac_tele,2018,5536,bushmeat,0
lac_tele,2018,5536,firewood,6
lac_tele,2018,5536,fish,0
lac_tele,2018,5536,gnetum,6
lac_tele,2018,5536,marantacea,6
lac_tele,2018,5537,marantacea,6
lac_tele,2018,5537,bushmeat,0
lac_tele,2018,5537,gnetum,6
lac_tele,2018,5537,fish,7
lac_tele,2018,5537,firewood,6
lac_tele,2018,5538,fish,7
lac_tele,2018,5538,firewood,7
lac_tele,2018,5538,gnetum,1
lac_tele,2018,5538,marantacea,2
lac_tele,2018,5538,bushmeat,0
lac_tele,2018,5539,gnetum,5
lac_tele,2018,5539,bushmeat,0
lac_tele,2018,5539,marantacea,6
lac_tele,2018,5539,fish,7
lac_tele,2018,5539,firewood,0
lac_tele,2018,5540,marantacea,6
lac_tele,2018,5540,firewood,6
lac_tele,2018,5540,bushmeat,0
lac_tele,2018,5540,fish,0
lac_tele,2018,5540,gnetum,6
lac_tele,2018,5541,marantacea,0
lac_tele,2018,5541,firewood,3
lac_tele,2018,5541,gnetum,0
lac_tele,2018,5541,fish,2
lac_tele,2018,5541,bushmeat,0
lac_tele,2018,5542,bushmeat,0
lac_tele,2018,5542,firewood,2
lac_tele,2018,5542,gnetum,0
lac_tele,2018,5542,marantacea,0
lac_tele,2018,5542,fish,0
lac_tele,2018,5543,fish,7
lac_tele,2018,5543,firewood,0
lac_tele,2018,5543,bushmeat,0
lac_tele,2018,5543,gnetum,0
lac_tele,2018,5543,marantacea,0
lac_tele,2018,5544,firewood,6
lac_tele,2018,5544,fish,7
lac_tele,2018,5544,bushmeat,0
lac_tele,2018,5544,gnetum,6
