landscape,id,surveyyear,nr,nrcollect
ndoki,5335,2018,marantaceas,1
ndoki,5335,2018,firewood,3
ndoki,5336,2018,gnetum,4
ndoki,5336,2018,liana,2
ndoki,5336,2018,marantaceas,2
ndoki,5336,2018,firewood,5
ndoki,5336,2018,bushmeat,1
ndoki,5337,2018,gnetum,1
ndoki,5337,2018,marantaceas,0
ndoki,5337,2018,bushmeat,1
ndoki,5337,2018,firewood,4
ndoki,5337,2018,liana,0
ndoki,5338,2018,gnetum,5
ndoki,5338,2018,marantaceas,4
ndoki,5338,2018,firewood,7
ndoki,5338,2018,liana,0
ndoki,5338,2018,bushmeat,1
ndoki,5339,2018,marantaceas,0
ndoki,5339,2018,gnetum,1
ndoki,5339,2018,bushmeat,1
ndoki,5339,2018,firewood,4
ndoki,5339,2018,liana,0
ndoki,5340,2018,gnetum,1
ndoki,5340,2018,bushmeat,1
ndoki,5340,2018,marantaceas,0
ndoki,5340,2018,firewood,4
ndoki,5340,2018,liana,1
ndoki,5341,2018,firewood,3
ndoki,5341,2018,liana,0
ndoki,5341,2018,gnetum,2
ndoki,5341,2018,marantaceas,2
ndoki,5341,2018,bushmeat,1
ndoki,5342,2018,firewood,4
ndoki,5342,2018,marantaceas,0
ndoki,5342,2018,gnetum,5
ndoki,5342,2018,bushmeat,0
ndoki,5342,2018,liana,0
ndoki,5343,2018,liana,1
ndoki,5343,2018,firewood,3
ndoki,5343,2018,marantaceas,2
ndoki,5343,2018,bushmeat,0
ndoki,5343,2018,gnetum,5
ndoki,5344,2018,firewood,6
ndoki,5344,2018,liana,0
ndoki,5344,2018,gnetum,5
ndoki,5344,2018,bushmeat,0
ndoki,5344,2018,marantaceas,2
ndoki,5345,2018,liana,2
ndoki,5345,2018,marantaceas,0
ndoki,5345,2018,bushmeat,2
ndoki,5345,2018,gnetum,3
ndoki,5345,2018,firewood,3
ndoki,5346,2018,firewood,6
ndoki,5346,2018,gnetum,0
ndoki,5346,2018,bushmeat,0
ndoki,5346,2018,marantaceas,0
ndoki,5346,2018,liana,0
ndoki,5347,2018,firewood,1
ndoki,5347,2018,liana,0
ndoki,5347,2018,marantaceas,1
ndoki,5347,2018,bushmeat,0
ndoki,5347,2018,gnetum,2
ndoki,5348,2018,bushmeat,0
ndoki,5348,2018,liana,0
ndoki,5348,2018,gnetum,4
ndoki,5348,2018,firewood,6
ndoki,5348,2018,marantaceas,1
ndoki,5349,2018,bushmeat,0
ndoki,5349,2018,firewood,4
ndoki,5349,2018,gnetum,2
ndoki,5349,2018,liana,0
ndoki,5349,2018,marantaceas,2
ndoki,5350,2018,marantaceas,1
ndoki,5350,2018,liana,1
ndoki,5350,2018,gnetum,1
ndoki,5350,2018,bushmeat,0
ndoki,5350,2018,firewood,2
ndoki,5351,2018,bushmeat,3
ndoki,5351,2018,liana,0
ndoki,5351,2018,gnetum,3
ndoki,5351,2018,firewood,3
ndoki,5351,2018,marantaceas,2
ndoki,5352,2018,marantaceas,1
ndoki,5352,2018,gnetum,1
ndoki,5352,2018,liana,0
ndoki,5352,2018,firewood,3
ndoki,5352,2018,bushmeat,0
ndoki,5353,2018,liana,0
ndoki,5353,2018,bushmeat,1
ndoki,5353,2018,firewood,5
ndoki,5353,2018,gnetum,3
ndoki,5353,2018,marantaceas,0
ndoki,5354,2018,marantaceas,0
ndoki,5354,2018,firewood,0
ndoki,5354,2018,liana,0
